#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00652,0,0,0,0,0,0,13.4619
HG00653,0,0,0,0,0,0,21.5309
HG00654,0,0,0,0,0,0,8.00917
HG00655,0,0,0,0,0,0,10.6157
HG00656,0,0,0,0,0,0,12.3134
HG00657,0,0,0,0,0,0,13.4717
HG00658,0,0,0,0,0,0,13.4717
HG00662,0,0,0,0,0,0,6.86062
HG00663,0,0,0,0,0,0,16.0684
HG00664,0,0,0,0,0,0,14.9199
HG00671,0,0,0,0,0,0,13.4619
HG00672,0,0,0,0,0,0,18.9147
HG00673,0,0,0,0,0,0,18.9147
HG00674,0,0,0,0,0,0,23.3021
HG00675,0,0,0,0,0,0,13.4619
HG00683,0,0,0,0,0,0,16.318
HG00684,0,0,0,0,0,0,16.0684
HG00685,0,0,0,0,0,0,24.3772
HG00689,0,0,0,0,0,0,13.4619
HG00690,0,0,0,0,0,0,16.3277
HG00691,0,0,0,0,0,0,13.4717
HG00692,0,0,0,0,0,0,9.46711
HG00693,0,0,0,0,0,0,13.4619
HG00694,0,0,0,0,0,0,16.0684
HG00698,0,0,0,0,0,0,10.6157
HG00699,0,0,0,0,0,0,14.9199
HG00700,0,0,0,0,0,0,13.2221
HG00701,0,0,0,0,0,0,5.71207
HG00702,0,0,0,0,0,0,17.7759
HG00703,0,0,0,0,0,0,5.71207
HG00704,0,0,0,0,0,0,8.00917
HG00705,0,0,0,0,0,0,10.8652
HG00706,0,0,0,0,0,0,8.00917
HG00707,0,0,0,0,0,0,12.3134
HG00708,0,0,0,0,0,0,13.4619
HG00709,0,0,0,0,0,0,17.7661
HG00717,0,0,0,0,0,0,20.6623
HG00728,0,0,0,0,0,0,19.174
HG00729,0,0,0,0,0,0,8.00917
HG00731,0,0,0,1.78141,0,0,18.2278
HG00732,0,0,0,3.56282,0,0,40.8834
HG00733,0,0,0,3.56282,0,0,31.053
HG00734,0,0,0,0,0,0,16.318
HG00735,0,0,0,0,0,0,26.1484
HG00736,0,0,0,1.78141,0,0,32.6521
HG00737,0,0,0,3.56282,0,0,27.2979
HG00738,0,0,0,3.56282,0,0,21.8452
HG00739,0,0,0,0,0,0,24.7405
HG00740,0,0,0,1.78141,0,0,11.6265
HG00741,0,0,0,0,0,0,26.1484
HG00742,0,0,0,0,0,0,18.9147
HG00743,0,0,0,1.78141,0,0,28.2842
HG00759,0,0,0,0,0,0,10.6157
HG00766,0,0,0,0,0,0,25.8988
HG00844,0,0,0,0,0,0,21.5212
HG00851,0,0,0,0,0,0,8.00917
HG00864,0,0,0,0,0,0,33.0991
HG00867,0,0,0,0,0,0,21.7805
HG00879,0,0,0,0,0,0,13.4619
HG00881,0,0,0,0,0,0,10.6157
HG00956,0,0,0,0,0,0,13.4717
HG00978,0,0,0,0,0,0,8.00917
HG00982,0,0,0,0,0,0,13.4619
HG01028,0,0,0,0,0,0,16.0684
HG01029,0,0,0,0,0,0,16.318
HG01031,0,0,0,0,0,0,16.318
HG01046,0,0,0,0,0,0,13.4619
HG01047,0,0,0,1.78141,0,0,35.2919
HG01048,0,0,0,0,0,0,13.4619
HG01049,0,0,0,0,0,0,21.8942
HG01050,0,0,0,0,0,0,9.45733
HG01051,0,0,0,0,0,0,16.318
HG01052,0,0,0,0,0,0,10.8652
HG01053,0,0,0,0,0,0,16.318
HG01054,0,0,0,1.78141,0,0,12.7751
HG01055,0,0,0,1.78141,0,0,8.77048
HG01056,0,0,0,3.56282,0,0,13.5364
HG01058,0,0,0,0,0,0,13.4717
HG01060,0,0,0,3.56282,0,0,23.583
HG01061,0,0,0,0,0,0,24.7503
